品項ID,供應商,供應商ID,品項類別,單位成本,安全庫存量,庫存量,最後進貨日,狀態,總進貨量,規格/單位,進價,關聯的採購項目,食材名稱,食譜組成項目
薑黃粉,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.5,,,2025年7月22日 下午7:21,未開始,0,1 斤,300,,薑黃粉,舒肥薑黃咖喱雞-薑黃粉 (https://www.notion.so/237fd5adc30b804c9097e00607acfba8?pvs=21)
紅糖,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.033,,1800,2025年7月22日 下午7:25,未開始,0,1 斤,20,,紅糖,"舒肥沙爹咖喱雞-紅糖 (https://www.notion.so/237fd5adc30b80a98388f8269e565a59?pvs=21), 帕泰醬-紅糖 (https://www.notion.so/237fd5adc30b80ad845ed835585c1161?pvs=21), 魚露炸腿-紅糖 (https://www.notion.so/237fd5adc30b80d29c4df170b7c7c484?pvs=21), 青木瓜醬-紅糖 (https://www.notion.so/237fd5adc30b8081a3bbcdc20cf6b19e?pvs=21), 舒肥薑黃咖喱雞-紅糖 (https://www.notion.so/237fd5adc30b80f6ab09c736922507fc?pvs=21), 茉莉豬頸肉-紅糖 (https://www.notion.so/237fd5adc30b805a95e4e5f40db8a974?pvs=21), 鹽味翅小腿-紅糖 (https://www.notion.so/237fd5adc30b804d9492eee4f79840ab?pvs=21), 早餐豬肉丸-紅糖 (https://www.notion.so/237fd5adc30b8056a53ccae7a7178503?pvs=21), 酸辣湯底-紅糖 (https://www.notion.so/237fd5adc30b803f902fe0e337e75658?pvs=21), 炸春捲-紅糖 (https://www.notion.so/237fd5adc30b80a0a02ec23c2848a993?pvs=21), 經典綠咖哩醬-紅糖 (https://www.notion.so/237fd5adc30b806f9ebafdf8a741ef56?pvs=21), Laab羊-紅糖 (https://www.notion.so/Laab-237fd5adc30b80ffac95c111be80ddba?pvs=21)"
乳瑪琳,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.318,,,2025年7月22日 下午7:21,未開始,0,440 克,140,,乳瑪琳,
玉米粒,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.058,,,2025年7月22日 下午7:21,未開始,0,2 公斤,115,,玉米粒,
橄欖油,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.041,,,2025年7月22日 下午7:21,未開始,0,18 公斤,745,,橄欖油,舒肥海南雞-橄欖油 (https://www.notion.so/237fd5adc30b80a2806fdb62d4ed3b1d?pvs=21)
黑胡椒,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.733,,,2025年7月22日 下午7:21,未開始,0,150 克,110,,黑胡椒,"秘傳炸翅-黑胡椒 (https://www.notion.so/237fd5adc30b80ddbf33d924d7d7a4a7?pvs=21), 茉莉豬頸肉-黑胡椒 (https://www.notion.so/237fd5adc30b80a2896ff593e478d081?pvs=21), 鹽味翅小腿-黑胡椒 (https://www.notion.so/237fd5adc30b803ea583ce487c2b19cc?pvs=21), 炸春捲-黑胡椒 (https://www.notion.so/237fd5adc30b8066b99ede017547b997?pvs=21)"
雞粉,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.25,,200,2025年7月22日 下午7:26,未開始,0,1 公斤,250,,雞粉,"舒肥海南雞-雞粉 (https://www.notion.so/237fd5adc30b80809fefde6b48b35545?pvs=21), 魚露炸腿-雞粉 (https://www.notion.so/237fd5adc30b801bb80fddfda8af47d7?pvs=21), 秘傳炸翅-雞粉 (https://www.notion.so/237fd5adc30b8041b0cadc0550dd6197?pvs=21), 泰南烤雞-雞粉 (https://www.notion.so/237fd5adc30b80869f79f8b0ebe65e03?pvs=21), 茉莉豬頸肉-雞粉 (https://www.notion.so/237fd5adc30b807bb963f3f501287123?pvs=21), 鹽味翅小腿-雞粉 (https://www.notion.so/237fd5adc30b80338308fb9cf71ad9fc?pvs=21), 經典綠咖哩醬-雞粉 (https://www.notion.so/237fd5adc30b8068b4edfecf2014f755?pvs=21)"
鹽,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.008,,,2025年7月22日 下午7:21,未開始,0,30 公斤,240,,鹽,"舒肥海南雞-鹽 (https://www.notion.so/237fd5adc30b8068a309ececb67d2739?pvs=21), 茉莉豬頸肉-鹽 (https://www.notion.so/237fd5adc30b80a08d5de0aee5423b71?pvs=21), 炸春捲-鹽 (https://www.notion.so/237fd5adc30b80f78ebfe0955bfa9a36?pvs=21)"
花生醬,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.143,,,2025年7月22日 下午7:21,未開始,0,3 公斤,430,,花生醬,舒肥沙爹咖喱雞-花生醬  (https://www.notion.so/237fd5adc30b806ab077fc461a166916?pvs=21)
蒜酥,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.138,,,2025年7月22日 下午7:21,未開始,0,1 斤,83,,蒜酥,"泰南烤雞-蒜酥 (https://www.notion.so/237fd5adc30b8033ac87f45fc64fd5d8?pvs=21), 茉莉豬頸肉-蒜酥 (https://www.notion.so/237fd5adc30b80778bb8e2d3c66a1b2c?pvs=21)"
沙拉油(大成),佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.051,,,2025年7月22日 下午7:21,未開始,0,18 公斤,910,,沙拉油(大成),
耐炸油(大成),佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.043,,,2025年7月22日 下午7:21,未開始,0,18 公斤,765,,耐炸油(大成),
熊貓蠔油,佳良行,JL (https://www.notion.so/JL-237fd5adc30b80798c14e5c1a85eeb40?pvs=21),,0.084,,200,2025年7月22日 下午10:09,未開始,0,2270 克,190,,熊貓蠔油,經典蝦醬-蠔油 (https://www.notion.so/237fd5adc30b801294f3ddaeaadcfc74?pvs=21)
